reference,pin,x,y,net
J18,1,110.0,285.0,V5V
J18,2,115.08,285.0,LED_DATA_OUT
J18,3,120.16,285.0,LOGIC_5V_N
J3,1,216.19,16.19,MOTION_BUS_P
J3,2,216.19,18.73,MOTION_BUS_P
J3,3,216.19,21.27,MOTION_BUS_P
J3,4,216.19,23.81,MOTION_BUS_P
J3,5,223.81,16.19,MOTION_BUS_P
J3,6,223.81,18.73,MOTION_BUS_P
J3,7,223.81,21.27,MOTION_BUS_P
J3,8,223.81,23.81,MOTION_BUS_P
J11,1,11.0,216.0,V5V
J11,2,11.0,221.08,LOGIC_5V_N
J7,1,349.0,63.0,MOTION_BUS_P
J7,2,349.0,57.92,DRIVE_N
J4,1,216.19,111.19,ARM_L_N
J4,2,216.19,113.73,ARM_L_N
J4,3,216.19,116.27,ARM_L_N
J4,4,216.19,118.81,ARM_L_N
J4,5,223.81,111.19,ARM_L_N
J4,6,223.81,113.73,ARM_L_N
J4,7,223.81,116.27,ARM_L_N
J4,8,223.81,118.81,ARM_L_N
J17,1,43.125,286.95,CAN_H
J17,2,44.375,286.95,CAN_L
J17,3,45.625,286.95,LOGIC_GND
J17,4,46.875,286.95,CHASSIS
J17,MP,41.275,283.6,
J17,MP,48.725,283.6,
J13,1,11.0,244.0,LIFT_24V_SAMPLE
J13,2,11.0,249.08,LIFT_24V_N
J8,1,349.0,91.0,MOTION_BUS_P
J8,2,349.0,85.92,LIFT_N
J15,1,349.0,169.0,CHOP_TEMP_ADC
J15,2,349.0,163.92,LOGIC_GND
J20,1,16.0,246.0,PB_CONNECTOR
J20,2,16.0,248.54,LOGIC_GND
J21,1,274.0,267.0,LOGIC_GND
J21,2,274.0,269.54,UART_RX_CONNECTOR
J21,3,274.0,272.08,UART_TX_CONNECTOR
J21,4,274.0,274.62,ESP_BOOT_N
J21,5,274.0,277.16,ESP_CHIP_EN
J23,1,133.0,278.0,I2C_SDA
J23,2,133.0,280.54,I2C_SCL
J23,3,133.0,283.08,LOGIC_GND
J12,1,349.0,35.0,MOTION_BUS_P
J12,2,349.0,29.92,CHOP_DRAIN
J6,1,246.19,111.19,ARM_R_N
J6,2,246.19,113.73,ARM_R_N
J6,3,246.19,116.27,ARM_R_N
J6,4,246.19,118.81,ARM_R_N
J6,5,253.81,111.19,ARM_R_N
J6,6,253.81,113.73,ARM_R_N
J6,7,253.81,116.27,ARM_R_N
J6,8,253.81,118.81,ARM_R_N
J9,1,11.0,160.0,PC_BUCK_IN_P
J9,2,11.0,165.08,PC_N
J22,1,257.0,234.0,V3V3
J22,2,257.0,236.54,MOTION_PERMIT_CONNECTOR
J22,3,257.0,239.08,LOGIC_GND
J1,1,11.19,41.19,BATT_FUSED_P
J1,2,11.19,43.73,BATT_FUSED_P
J1,3,11.19,46.27,BATT_FUSED_P
J1,4,11.19,48.81,BATT_FUSED_P
J1,5,18.81,41.19,BATT_FUSED_P
J1,6,18.81,43.73,BATT_FUSED_P
J1,7,18.81,46.27,BATT_FUSED_P
J1,8,18.81,48.81,BATT_FUSED_P
J16,1,28.125,286.95,CAN_H
J16,2,29.375,286.95,CAN_L
J16,3,30.625,286.95,LOGIC_GND
J16,4,31.875,286.95,CHASSIS
J16,MP,26.275,283.6,
J16,MP,33.725,283.6,
J10,1,11.0,188.0,LOGIC_BUCK_IN_P
J10,2,11.0,193.08,LOGIC_BUCK_N
J5,1,246.19,16.19,MOTION_BUS_P
J5,2,246.19,18.73,MOTION_BUS_P
J5,3,246.19,21.27,MOTION_BUS_P
J5,4,246.19,23.81,MOTION_BUS_P
J5,5,253.81,16.19,MOTION_BUS_P
J5,6,253.81,18.73,MOTION_BUS_P
J5,7,253.81,21.27,MOTION_BUS_P
J5,8,253.81,23.81,MOTION_BUS_P
J14,1,349.0,141.0,CHOP_NTC
J14,2,349.0,135.92,CHOP_GND
J2,1,11.19,111.19,BATT_N
J2,2,11.19,113.73,BATT_N
J2,3,11.19,116.27,BATT_N
J2,4,11.19,118.81,BATT_N
J2,5,18.81,111.19,BATT_N
J2,6,18.81,113.73,BATT_N
J2,7,18.81,116.27,BATT_N
J2,8,18.81,118.81,BATT_N
