reference,value,mpn,manufacturer,footprint,x_mm,y_mm,kicad_rotation_deg,side,mounting,dnp,state,x_right_y_down_board_origin,footprint_anchor_not_centroid,board_excluded_from_position
C3,33uF63V10% PET film,MKS4C053306D00KSSD,WIMA,PMU_RevA:C_Rect_L31.5mm_W13mm_P27.5mm,52.000000,141.000000,0.000000,top,through_hole_manual,False,rev_a_pcb_prototype_order_release,True,True,False
C10,33uF63V10% PET film,MKS4C053306D00KSSD,WIMA,PMU_RevA:C_Rect_L31.5mm_W13mm_P27.5mm,164.000000,141.000000,0.000000,top,through_hole_manual,False,rev_a_pcb_prototype_order_release,True,True,False
C246,1000u 10V,EEU-FR1A102,Panasonic,Capacitor_THT:CP_Radial_D10.0mm_P5.00mm,132.000000,270.000000,0.000000,top,through_hole_manual,False,rev_a_pcb_prototype_order_release,True,True,False
C312,470uF 100V20% high-ripple MOTION bulk,EKYC101ELL471MK35S,Nippon Chemi-Con,Capacitor_THT:CP_Radial_D12.5mm_P5.00mm,304.000000,17.000000,180.000000,top,through_hole_manual,False,rev_a_pcb_prototype_order_release,True,True,False
C313,470uF 100V20% high-ripple MOTION bulk,EKYC101ELL471MK35S,Nippon Chemi-Con,Capacitor_THT:CP_Radial_D12.5mm_P5.00mm,321.000000,17.000000,180.000000,top,through_hole_manual,False,rev_a_pcb_prototype_order_release,True,True,False
D63,100V 10A resistor cable freewheel,MBR10100-M3/4W,Vishay,Package_TO_SOT_THT:TO-220-2_Vertical,331.000000,42.000000,180.000000,top,through_hole_manual,False,rev_a_pcb_prototype_order_release,True,True,False
J1,Battery M5 160A class,7461103,Wurth Elektronik,PMU:Wurth_7461103,15.000000,45.000000,0.000000,top,through_hole_manual,False,rev_a_pcb_prototype_order_release,True,True,False
J2,Battery M5 160A class,7461103,Wurth Elektronik,PMU:Wurth_7461103,15.000000,115.000000,0.000000,top,through_hole_manual,False,rev_a_pcb_prototype_order_release,True,True,False
J3,Left arm + M5 160A class,7461103,Wurth Elektronik,PMU:Wurth_7461103,220.000000,20.000000,0.000000,top,through_hole_manual,False,rev_a_pcb_prototype_order_release,True,True,False
J4,Left arm return M5 160A class,7461103,Wurth Elektronik,PMU:Wurth_7461103,220.000000,115.000000,0.000000,top,through_hole_manual,False,rev_a_pcb_prototype_order_release,True,True,False
J5,Right arm + M5 160A class,7461103,Wurth Elektronik,PMU:Wurth_7461103,250.000000,20.000000,0.000000,top,through_hole_manual,False,rev_a_pcb_prototype_order_release,True,True,False
J6,Right arm return M5 160A class,7461103,Wurth Elektronik,PMU:Wurth_7461103,250.000000,115.000000,0.000000,top,through_hole_manual,False,rev_a_pcb_prototype_order_release,True,True,False
J7,Drive 8A peak,1776508,Phoenix Contact,"Connector_Phoenix_MSTB:PhoenixContact_MSTB_2,5_2-GF-5,08_1x02_P5.08mm_Horizontal_ThreadedFlange",349.000000,63.000000,90.000000,top,through_hole_manual,False,rev_a_pcb_prototype_order_release,True,True,False
J8,24V lift-buck INPUT,1776508,Phoenix Contact,"Connector_Phoenix_MSTB:PhoenixContact_MSTB_2,5_2-GF-5,08_1x02_P5.08mm_Horizontal_ThreadedFlange",349.000000,91.000000,90.000000,top,through_hole_manual,False,rev_a_pcb_prototype_order_release,True,True,False
J9,12V PC-buck INPUT,1776508,Phoenix Contact,"Connector_Phoenix_MSTB:PhoenixContact_MSTB_2,5_2-GF-5,08_1x02_P5.08mm_Horizontal_ThreadedFlange",11.000000,160.000000,-90.000000,top,through_hole_manual,False,rev_a_pcb_prototype_order_release,True,True,False
J10,5V logic-buck INPUT,1776508,Phoenix Contact,"Connector_Phoenix_MSTB:PhoenixContact_MSTB_2,5_2-GF-5,08_1x02_P5.08mm_Horizontal_ThreadedFlange",11.000000,188.000000,-90.000000,top,through_hole_manual,False,rev_a_pcb_prototype_order_release,True,True,False
J11,5V converter OUTPUT return,1776508,Phoenix Contact,"Connector_Phoenix_MSTB:PhoenixContact_MSTB_2,5_2-GF-5,08_1x02_P5.08mm_Horizontal_ThreadedFlange",11.000000,216.000000,-90.000000,top,through_hole_manual,False,rev_a_pcb_prototype_order_release,True,True,False
J12,External resistor bank,1776508,Phoenix Contact,"Connector_Phoenix_MSTB:PhoenixContact_MSTB_2,5_2-GF-5,08_1x02_P5.08mm_Horizontal_ThreadedFlange",349.000000,35.000000,90.000000,top,through_hole_manual,False,rev_a_pcb_prototype_order_release,True,True,False
J14,Analog bank NTC,1776508,Phoenix Contact,"Connector_Phoenix_MSTB:PhoenixContact_MSTB_2,5_2-GF-5,08_1x02_P5.08mm_Horizontal_ThreadedFlange",349.000000,141.000000,90.000000,top,through_hole_manual,False,rev_a_pcb_prototype_order_release,True,True,False
