reference,pin,net,x_mm,y_mm,finished_diameter_mm,finished_tolerance_plus_minus_mm,raw_drill_mm,raw_tolerance_plus_mm,raw_tolerance_minus_mm,barrel_copper_min_um,barrel_copper_max_um,minimum_annular_ring_mm,origin,terminal_face
J1,1,BATT_FUSED_P,11.19,41.19,1.475,0.05,1.6,0,0.03,25,60,0.1,F.Cu view; X right; Y down; absolute PCB origin,-Y
J1,2,BATT_FUSED_P,11.19,43.73,1.475,0.05,1.6,0,0.03,25,60,0.1,F.Cu view; X right; Y down; absolute PCB origin,-Y
J1,3,BATT_FUSED_P,11.19,46.27,1.475,0.05,1.6,0,0.03,25,60,0.1,F.Cu view; X right; Y down; absolute PCB origin,-Y
J1,4,BATT_FUSED_P,11.19,48.81,1.475,0.05,1.6,0,0.03,25,60,0.1,F.Cu view; X right; Y down; absolute PCB origin,-Y
J1,5,BATT_FUSED_P,18.81,41.19,1.475,0.05,1.6,0,0.03,25,60,0.1,F.Cu view; X right; Y down; absolute PCB origin,-Y
J1,6,BATT_FUSED_P,18.81,43.73,1.475,0.05,1.6,0,0.03,25,60,0.1,F.Cu view; X right; Y down; absolute PCB origin,-Y
J1,7,BATT_FUSED_P,18.81,46.27,1.475,0.05,1.6,0,0.03,25,60,0.1,F.Cu view; X right; Y down; absolute PCB origin,-Y
J1,8,BATT_FUSED_P,18.81,48.81,1.475,0.05,1.6,0,0.03,25,60,0.1,F.Cu view; X right; Y down; absolute PCB origin,-Y
J2,1,BATT_N,11.19,111.19,1.475,0.05,1.6,0,0.03,25,60,0.1,F.Cu view; X right; Y down; absolute PCB origin,-Y
J2,2,BATT_N,11.19,113.73,1.475,0.05,1.6,0,0.03,25,60,0.1,F.Cu view; X right; Y down; absolute PCB origin,-Y
J2,3,BATT_N,11.19,116.27,1.475,0.05,1.6,0,0.03,25,60,0.1,F.Cu view; X right; Y down; absolute PCB origin,-Y
J2,4,BATT_N,11.19,118.81,1.475,0.05,1.6,0,0.03,25,60,0.1,F.Cu view; X right; Y down; absolute PCB origin,-Y
J2,5,BATT_N,18.81,111.19,1.475,0.05,1.6,0,0.03,25,60,0.1,F.Cu view; X right; Y down; absolute PCB origin,-Y
J2,6,BATT_N,18.81,113.73,1.475,0.05,1.6,0,0.03,25,60,0.1,F.Cu view; X right; Y down; absolute PCB origin,-Y
J2,7,BATT_N,18.81,116.27,1.475,0.05,1.6,0,0.03,25,60,0.1,F.Cu view; X right; Y down; absolute PCB origin,-Y
J2,8,BATT_N,18.81,118.81,1.475,0.05,1.6,0,0.03,25,60,0.1,F.Cu view; X right; Y down; absolute PCB origin,-Y
J3,1,MOTION_BUS_P,216.19,16.19,1.475,0.05,1.6,0,0.03,25,60,0.1,F.Cu view; X right; Y down; absolute PCB origin,-Y
J3,2,MOTION_BUS_P,216.19,18.73,1.475,0.05,1.6,0,0.03,25,60,0.1,F.Cu view; X right; Y down; absolute PCB origin,-Y
J3,3,MOTION_BUS_P,216.19,21.27,1.475,0.05,1.6,0,0.03,25,60,0.1,F.Cu view; X right; Y down; absolute PCB origin,-Y
J3,4,MOTION_BUS_P,216.19,23.81,1.475,0.05,1.6,0,0.03,25,60,0.1,F.Cu view; X right; Y down; absolute PCB origin,-Y
J3,5,MOTION_BUS_P,223.81,16.19,1.475,0.05,1.6,0,0.03,25,60,0.1,F.Cu view; X right; Y down; absolute PCB origin,-Y
J3,6,MOTION_BUS_P,223.81,18.73,1.475,0.05,1.6,0,0.03,25,60,0.1,F.Cu view; X right; Y down; absolute PCB origin,-Y
J3,7,MOTION_BUS_P,223.81,21.27,1.475,0.05,1.6,0,0.03,25,60,0.1,F.Cu view; X right; Y down; absolute PCB origin,-Y
J3,8,MOTION_BUS_P,223.81,23.81,1.475,0.05,1.6,0,0.03,25,60,0.1,F.Cu view; X right; Y down; absolute PCB origin,-Y
