Ref,Val,Package,PosX,PosY,Rot,Side
"C1","100nF100V X7R","C_0805_2012Metric",77.000000,-97.000000,90.000000,top
"C2","1uF25V X7R","C_1206_3216Metric",72.000000,-95.000000,0.000000,top
"C4","1nF50V5% C0G","C_0805_2012Metric",71.000000,-98.900000,0.000000,top
"C5","1nF50V5% C0G","C_0805_2012Metric",74.200000,-99.900000,90.000000,top
"C6","1nF50V5% C0G","C_0805_2012Metric",64.000000,-102.000000,90.000000,top
"C7","1nF50V5% C0G","C_0805_2012Metric",60.000000,-102.000000,90.000000,top
"C8","100nF100V X7R","C_0805_2012Metric",174.000000,-92.000000,0.000000,top
"C9","4.7uF25V X7R","C_1206_3216Metric",179.000000,-102.000000,0.000000,top
"C11","1nF50V5% C0G","C_0805_2012Metric",174.000000,-98.500000,-90.000000,top
"C12","1nF50V5% C0G","C_0805_2012Metric",175.000000,-95.200000,0.000000,top
"C13","1nF50V5% C0G","C_0805_2012Metric",166.000000,-108.000000,90.000000,top
"C20","22nF50V5% C0G","C_0805_2012Metric",34.000000,-179.000000,90.000000,top
"C21","100nF100V X7R","C_0805_2012Metric",35.000000,-169.000000,0.000000,top
"C22","1uF100V X7R","C_1210_3225Metric",46.000000,-171.000000,90.000000,top
"C25","22nF50V5% C0G","C_0805_2012Metric",84.000000,-179.000000,90.000000,top
"C26","100nF100V X7R","C_0805_2012Metric",85.000000,-169.000000,0.000000,top
"C27","1uF100V X7R","C_1210_3225Metric",96.000000,-171.000000,90.000000,top
"C28","10nF50V5% C0G","C_0805_2012Metric",146.000000,-104.000000,90.000000,top
"C29","4.7uF25V X7R","C_1206_3216Metric",179.000000,-106.000000,0.000000,top
"C30","100nF100V X7R","C_0805_2012Metric",197.000000,-93.000000,0.000000,top
"C31","1nF50V5% C0G","C_0805_2012Metric",192.000000,-100.000000,90.000000,top
"C200","100n","C_0805_2012Metric",28.000000,-194.000000,180.000000,top
"C201","1u","C_0805_2012Metric",40.800000,-197.000000,0.000000,top
"C202","10n","C_0805_2012Metric",29.000000,-217.000000,90.000000,top
"C203","22n","C_0805_2012Metric",67.000000,-223.000000,180.000000,top
"C204","1u","C_0805_2012Metric",76.000000,-216.000000,0.000000,top
"C205","100n","C_0805_2012Metric",255.649999,-235.990000,0.000000,top
"C206","100n","C_0805_2012Metric",35.000000,-81.000000,0.000000,top
"C207","100n","C_0805_2012Metric",76.800000,-150.300000,180.000000,top
"C208","100n","C_0805_2012Metric",48.475000,-242.904999,0.000000,top
"C209","100n","C_0805_2012Metric",102.037500,-240.050000,0.000000,top
